software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,Broad cell type,Sebaceous gland cell,230,0.894919168591224,0.9748427672955976,0.6739130434782609,5093,4,75,155,2,"['ENSG00000103740', 'ENSG00000185640']","['ENSG00000103740', 'ENSG00000185640', 'ENSG00000162877', 'ENSG00000151789', 'ENSG00000124003', 'ENSG00000134824', 'ENSG00000159267', 'ENSG00000163694', 'ENSG00000166250', 'ENSG00000133048']",1.0
4.1,Broad cell type,Sweat gland cell,300,0.8056478405315615,0.8584070796460177,0.6466666666666666,4995,32,106,194,1,['ENSG00000064651'],"['ENSG00000064651', 'ENSG00000161634', 'ENSG00000178568', 'ENSG00000198648', 'ENSG00000196482', 'ENSG00000115112', 'ENSG00000107864', 'ENSG00000139083', 'ENSG00000163399', 'ENSG00000123104']",1.0
4.1,Broad cell type,Adipocyte,62,0.8157894736842105,0.96875,0.5,5264,1,31,31,1,['ENSG00000166819'],"['ENSG00000166819', 'ENSG00000080824', 'ENSG00000167676', 'ENSG00000079435', 'ENSG00000172216', 'ENSG00000076555', 'ENSG00000196616', 'ENSG00000135424', 'ENSG00000135046', 'ENSG00000177666']",1.0
4.1,Broad cell type,Fibroblast,529,0.899491591709034,0.9072978303747534,0.8695652173913043,4751,47,69,460,1,['ENSG00000196569'],"['ENSG00000196569', 'ENSG00000172260', 'ENSG00000122870', 'ENSG00000198121', 'ENSG00000133083', 'ENSG00000163359', 'ENSG00000152527', 'ENSG00000000971', 'ENSG00000077942', 'ENSG00000162407']",1.0
4.1,Broad cell type,Pericyte/SMC,186,0.7662538699690402,0.8608695652173913,0.532258064516129,5125,16,87,99,1,['ENSG00000122367'],"['ENSG00000122367', 'ENSG00000107796', 'ENSG00000133392', 'ENSG00000134533', 'ENSG00000165959', 'ENSG00000122786', 'ENSG00000185532', 'ENSG00000157110', 'ENSG00000140416', 'ENSG00000164741']",1.0
4.1,Broad cell type,Endothelial cell (vascular),730,0.8705179282868526,0.9820224719101124,0.5986301369863014,4589,8,293,437,2,"['ENSG00000085276', 'ENSG00000261371']","['ENSG00000162618', 'ENSG00000085276', 'ENSG00000164035', 'ENSG00000261371', 'ENSG00000111859', 'ENSG00000127329', 'ENSG00000085563', 'ENSG00000110799', 'ENSG00000113319', 'ENSG00000102755']",1.0
4.1,Broad cell type,Endothelial cell (lymphatic),293,0.9487179487179488,0.9664179104477612,0.8839590443686007,5025,9,34,259,1,['ENSG00000205038'],"['ENSG00000205038', 'ENSG00000138722', 'ENSG00000189056', 'ENSG00000150625', 'ENSG00000133800', 'ENSG00000075213', 'ENSG00000152953', 'ENSG00000110841', 'ENSG00000154330', 'ENSG00000184058']",1.0
4.1,Broad cell type,Immune (DC/macrophage),121,0.7654320987654321,0.8732394366197183,0.512396694214876,5197,9,59,62,1,['ENSG00000177575'],"['ENSG00000177575', 'ENSG00000260314', 'ENSG00000188641', 'ENSG00000084070', 'ENSG00000137478', 'ENSG00000115590', 'ENSG00000168214', 'ENSG00000145703', 'ENSG00000058453', 'ENSG00000019582']",1.0
4.1,Broad cell type,Immune (Langerhans),48,0.7954545454545454,1.0,0.4375,5279,0,27,21,2,"['ENSG00000198324', 'ENSG00000165646']","['ENSG00000012779', 'ENSG00000101542', 'ENSG00000275395', 'ENSG00000198324', 'ENSG00000125257', 'ENSG00000165646', 'ENSG00000042980', 'ENSG00000166501', 'ENSG00000196735', 'ENSG00000153898']",1.0
4.1,Broad cell type,Immune (mast cell),10,0.8333333333333334,0.875,0.7,5316,1,3,7,1,['ENSG00000172236'],"['ENSG00000172236', 'ENSG00000197253', 'ENSG00000149534', 'ENSG00000140287', 'ENSG00000169507', 'ENSG00000179348', 'ENSG00000095917', 'ENSG00000151422', 'ENSG00000140563', 'ENSG00000138678']",1.0
