clusterName,NSForest_markers,f_score
Melanocytes/melanocyte-like,['ENSG00000123560'],0.8345428156748912
Terminally differentiated keratinocytes,"['ENSG00000126233', 'ENSG00000169035']",0.7664106145251397
Differentiated keratinocytes I,"['ENSG00000166869', 'ENSG00000134765', 'ENSG00000173338', 'ENSG00000164825']",0.6182065217391305
Differentiated keratinocytes II,"['ENSG00000107968', 'ENSG00000135604']",0.4560909267534486
Undifferentiated keratinocytes II,"['ENSG00000166803', 'ENSG00000117632']",0.7721382289416847
Undifferentiated keratinocytes I,"['ENSG00000196878', 'ENSG00000120708']",0.7092291557420032
Fibroblasts I,"['ENSG00000011465', 'ENSG00000182326']",0.5772985033001766
Fibroblasts II,"['ENSG00000166482', 'ENSG00000132386', 'ENSG00000077942']",0.5770833333333333
Pericytes,"['ENSG00000107796', 'ENSG00000149591', 'ENSG00000198467']",0.7906542056074767
Endothelial cells,"['ENSG00000130300', 'ENSG00000165949']",0.830804248861912
Immune,['ENSG00000169442'],0.7713754646840149
