clusterName,NSForest_markers,f_score
Immune (DC/macrophage),['ENSG00000177575'],0.7654320987654321
Immune (Langerhans),"['ENSG00000198324', 'ENSG00000165646']",0.7954545454545454
Immune (mast cell),['ENSG00000172236'],0.8333333333333334
Immune (T cell),"['ENSG00000152495', 'ENSG00000081237']",0.6748466257668712
Melanocyte,"['ENSG00000080166', 'ENSG00000104044']",0.9285714285714286
Epithelial cell (basal keratinocyte),"['ENSG00000065618', 'ENSG00000091128']",0.8221225710014948
Epithelial cell (suprabasal keratinocyte),"['ENSG00000103319', 'ENSG00000137699']",0.3397212543554007
Epithelial cell (mature keratinocyte),"['ENSG00000136155', 'ENSG00000143797']",0.7544141252006421
Epithelial cell (cornified keratinocyte),"['ENSG00000143369', 'ENSG00000181652']",0.8254716981132075
Unknown,"['ENSG00000156508', 'ENSG00000133112']",0.694888178913738
Sebaceous gland cell,"['ENSG00000103740', 'ENSG00000185640']",0.894919168591224
Sweat gland cell,['ENSG00000064651'],0.8056478405315615
Adipocyte,['ENSG00000166819'],0.8157894736842105
Fibroblast,['ENSG00000196569'],0.899491591709034
Pericyte/SMC,['ENSG00000122367'],0.7662538699690402
Endothelial cell (vascular),"['ENSG00000085276', 'ENSG00000261371']",0.8705179282868526
Endothelial cell (lymphatic),['ENSG00000205038'],0.9487179487179488
