clusterName,gene
EpD_KRT4_diffSpinous,ENSG00000196407
EpD_KRT4_diffSpinous,ENSG00000188508
EpD_KRT4_diffSpinous,ENSG00000172867
EpD_KRT4_diffSpinous,ENSG00000189001
EpD_KRT3_earlySpinous,ENSG00000167768
EpD_KRT3_earlySpinous,ENSG00000186395
EpD_KRT3_earlySpinous,ENSG00000167656
EpD_KRT1_Basal,ENSG00000065618
EpD_KRT1_Basal,ENSG00000171346
EpD_KRT0_StemCyclingKeratinocyte,ENSG00000170312
EpD_KRT0_StemCyclingKeratinocyte,ENSG00000011426
EpD_KRT0_StemCyclingKeratinocyte,ENSG00000203760
EpD_KRT2_Basalinflammatory,ENSG00000171346
EpD_KRT2_Basalinflammatory,ENSG00000149043
EpD_KRT2_Basalinflammatory,ENSG00000186847
Imm_NK,ENSG00000140563
Imm_NK,ENSG00000151240
Imm_Tc,ENSG00000172236
Imm_Macrophage,ENSG00000159189
Imm_Macrophage,ENSG00000173369
Imm_Langerhans,ENSG00000275395
Imm_Langerhans,ENSG00000116031
Mes_PeriVInflammatory,ENSG00000205362
Mes_PeriVInflammatory,ENSG00000187479
Imm_DC,ENSG00000090382
Endo_Endothelial,ENSG00000162618
Imm_Mono,ENSG00000137462
EpD_HF_HairFollicle,ENSG00000131771
EpD_HF_HairFollicle,ENSG00000160678
EpD_KRT5_Granular,ENSG00000169035
Schwann_Melano,ENSG00000080166
Mixed_Erythocytes,ENSG00000187210
Mixed_Erythocytes,ENSG00000162669
Mixed_Erythocytes,ENSG00000186081
Mes_FibroReticular,ENSG00000197614
Mes_FibroReticular,ENSG00000164932
Mes_FibroDS,ENSG00000140937
Mes_FibroDS,ENSG00000147257
Mes_FibroPapillary,ENSG00000050767
Mes_FibroPapillary,ENSG00000145423
Mes_FibroInflammatory,ENSG00000161544
Mes_FibroInflammatory,ENSG00000125730
Endo_Endo-Lymph,ENSG00000137077
Endo_Endo-Lymph,ENSG00000160180
Mes_PeriV,ENSG00000249669
Mes_PeriV,ENSG00000107796
Imm_Th,ENSG00000168685
Imm_Th,ENSG00000163519
Imm_Th,ENSG00000117091
Imm_Treg,ENSG00000163599
