CellTypes,mean,std,median,count,q1,q3,f_score
Schwann_Melano,0.8351954200000001,0.0632684099186404,0.86188805,155,0.8337331299999999,0.87512878,0.8066429418742586
Endo_Endo-Lymph,0.7049367717766498,0.10246791530130445,0.7540917,197,0.66381323,0.7729788,0.903010033444816
Mes_PeriVInflammatory,0.6811900153567036,0.15876161234568015,0.7271252,813,0.6532426,0.75930333,0.7520798668885191
EpD_HF_HairFollicle,0.6111830317094017,0.2847942993929859,0.71502835,117,0.67312634,0.7321507,0.6973293768545994
EpD_KRT3_earlySpinous,0.5780713986327558,0.24493419335465266,0.671379325,1720,0.5758927175,0.7097581550000001,0.6683326244151425
EpD_KRT5_Granular,0.538948254025974,0.34272119952546065,0.66701813,462,0.5841552750000001,0.7019049500000001,0.5853658536585366
EpD_KRT0_StemCyclingKeratinocyte,0.59438266204,0.1459675588283349,0.639201485,50,0.586800055,0.673633675,0.6764705882352942
Mes_FibroInflammatory,0.5708687017937063,0.17413769353485828,0.6229953,858,0.5333087000000001,0.6842452125,0.7670642809807819
EpD_KRT4_diffSpinous,0.564803839900321,0.15008198519445737,0.6015968,623,0.46757245000000003,0.686428935,0.4559898315856371
Mes_FibroPapillary,0.5130942158665596,0.22117493203972988,0.5983795,311,0.40044634,0.66599407,0.6737967914438503
Mes_FibroReticular,0.4528110233532986,0.3073091348880095,0.589205655,576,0.4055092075,0.651010125,0.8024017467248908
Imm_Macrophage,0.46253717383193277,0.2406482413539191,0.55682378,238,0.42264123750000004,0.610222975,0.8173996175908221
Mes_PeriV,0.4696560176854083,0.17711158668059093,0.52312535,747,0.39969659999999996,0.58790157,0.6451612903225806
EpD_KRT2_Basalinflammatory,0.4873340556715867,0.12688021313851983,0.47447962,271,0.425603705,0.5944212,0.3027027027027027
Imm_Treg,0.41875624904761904,0.18530369214987044,0.4500089,63,0.389035865,0.5282618800000001,0.6684491978609626
Mes_FibroDS,0.3287715490835,0.25707599765107714,0.36589051,400,0.13397929249999999,0.5655400025,0.4962311557788945
Imm_Langerhans,0.09360489571428572,0.41384244513024204,0.33724257,21,-0.27942574,0.3911197,0.6198347107438017
Imm_Tc,-0.07432412781754659,0.48310741439294086,0.25483796000000003,644,-0.61685361,0.38738869,0.7637524557956779
Endo_Endothelial,0.10430398097523194,0.18777389111881224,0.087174,1315,-0.0268517135,0.249753585,0.9136242208370436
EpD_KRT1_Basal,-0.05216318573174736,0.28073668416707664,0.0086524815,1322,-0.2791967875,0.20216898500000002,0.6679252067601582
Imm_DC,-0.11699552053252102,0.3718373959772742,-0.049082704,238,-0.419224865,0.2487123925,0.8186813186813187
Mixed_Erythocytes,-0.12560283357142857,0.2407426608551609,-0.075209975,7,-0.26661779,0.067553395,0.4545454545454545
Imm_Th,-0.4294754890055249,0.11328348996780213,-0.41872174,181,-0.46652618,-0.35862112,0.5074875207986689
Imm_NK,-0.6095264157142858,0.1975197425901095,-0.632051825,14,-0.754445795,-0.4312731125,0.2777777777777778
Imm_Mono,-0.7300153703846154,0.10103200693897824,-0.7061464500000001,26,-0.8101728825,-0.65033685,0.3448275862068966
