software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,Celltype,Mesenchymal fibroblasts,594,0.5738786279683378,0.6214285714285714,0.4393939393939394,14704,159,333,261,1,['ENSG00000106819'],"['ENSG00000106819', 'ENSG00000204262', 'ENSG00000154096', 'ENSG00000133110', 'ENSG00000166033', 'ENSG00000197614', 'ENSG00000163359', 'ENSG00000168542', 'ENSG00000108821', 'ENSG00000142156']",1.0
4.1,Celltype,Secretory-papillary fibroblasts,1675,0.6321036889332003,0.7592814371257485,0.3785074626865671,13581,201,1041,634,2,"['ENSG00000154856', 'ENSG00000145423']","['ENSG00000154856', 'ENSG00000116678', 'ENSG00000107317', 'ENSG00000145423', 'ENSG00000113369', 'ENSG00000162407', 'ENSG00000142156', 'ENSG00000077942', 'ENSG00000087245', 'ENSG00000168542']",0.7396438121795654
4.1,Celltype,Secretory-reticular fibroblasts,1886,0.803979564399032,0.861671469740634,0.6341463414634146,13379,192,690,1196,1,['ENSG00000124107'],"['ENSG00000124107', 'ENSG00000064205', 'ENSG00000167779', 'ENSG00000164530', 'ENSG00000164932', 'ENSG00000197614', 'ENSG00000077942', 'ENSG00000087245', 'ENSG00000132386', 'ENSG00000143387']",1.0
4.1,Celltype,Pro-inflammatory fibroblasts,1793,0.5856852979155137,0.7001102535832414,0.3541550474065811,13392,272,1158,635,2,"['ENSG00000107562', 'ENSG00000163734']","['ENSG00000106538', 'ENSG00000163739', 'ENSG00000143196', 'ENSG00000107317', 'ENSG00000107562', 'ENSG00000163734', 'ENSG00000000971', 'ENSG00000164949', 'ENSG00000130203', 'ENSG00000182326']",0.4718519151210785
4.1,Celltype,Pericytes,1220,0.8861859252823632,0.9645390070921984,0.6688524590163935,14207,30,404,816,2,"['ENSG00000149591', 'ENSG00000107796']","['ENSG00000149591', 'ENSG00000107796', 'ENSG00000101335', 'ENSG00000198467', 'ENSG00000142910', 'ENSG00000133392', 'ENSG00000185633', 'ENSG00000150594', 'ENSG00000065534', 'ENSG00000172201']",1.0
4.1,Celltype,Vascular EC,1467,0.845082991254685,0.9158607350096712,0.645535105657805,13903,87,520,947,1,['ENSG00000213088'],"['ENSG00000213088', 'ENSG00000007908', 'ENSG00000162618', 'ENSG00000130300', 'ENSG00000175471', 'ENSG00000164736', 'ENSG00000120279', 'ENSG00000165949', 'ENSG00000152583', 'ENSG00000169908']",1.0
4.1,Celltype,Lymphatic EC,294,0.9732272069464544,0.9889705882352942,0.9149659863945578,15160,3,25,269,2,"['ENSG00000160180', 'ENSG00000137077']","['ENSG00000160180', 'ENSG00000137077', 'ENSG00000138722', 'ENSG00000133800', 'ENSG00000003436', 'ENSG00000117707', 'ENSG00000168497', 'ENSG00000110841', 'ENSG00000170323', 'ENSG00000137726']",1.0
4.1,Celltype,Melanocytes,123,0.9071274298056156,0.9882352941176472,0.6829268292682927,15333,1,39,84,2,"['ENSG00000080166', 'ENSG00000120215']","['ENSG00000080166', 'ENSG00000120215', 'ENSG00000107165', 'ENSG00000185664', 'ENSG00000092529', 'ENSG00000123560', 'ENSG00000125851', 'ENSG00000077498', 'ENSG00000187098', 'ENSG00000157404']",1.0
4.1,Celltype,Diff. Keratinocytes,1399,0.8554311530151247,0.943661971830986,0.6225875625446747,14006,52,528,871,2,"['ENSG00000188508', 'ENSG00000167656']","['ENSG00000188508', 'ENSG00000164825', 'ENSG00000147676', 'ENSG00000189001', 'ENSG00000124466', 'ENSG00000167656', 'ENSG00000167768', 'ENSG00000178934', 'ENSG00000096696', 'ENSG00000161249']",0.8222541809082031
4.1,Celltype,EpSC and undiff. progenitors,1187,0.759592795614722,0.8804841149773072,0.4903117101937658,14191,79,605,582,2,"['ENSG00000065618', 'ENSG00000230937']","['ENSG00000065618', 'ENSG00000171346', 'ENSG00000109321', 'ENSG00000197632', 'ENSG00000116285', 'ENSG00000230937', 'ENSG00000186081', 'ENSG00000178934', 'ENSG00000206075', 'ENSG00000151914']",0.7906469106674194
4.1,Celltype,Erythrocytes,310,0.9549356223175964,0.9816176470588236,0.8612903225806452,15142,5,43,267,1,['ENSG00000244734'],"['ENSG00000244734', 'ENSG00000188536', 'ENSG00000206172', 'ENSG00000223609', 'ENSG00000013306', 'ENSG00000147454']",1.0
4.1,Celltype,T cells,1281,0.7870742826495039,0.9591503267973857,0.4582357533177205,14151,25,694,587,2,"['ENSG00000167286', 'ENSG00000169442']","['ENSG00000167286', 'ENSG00000213402', 'ENSG00000169442', 'ENSG00000008517', 'ENSG00000110848', 'ENSG00000227507', 'ENSG00000081237', 'ENSG00000104660', 'ENSG00000121966', 'ENSG00000102879']",1.0
4.1,Celltype,Macrophages+DC,2228,0.9138366223038092,0.9821208384710234,0.7149910233393177,13200,29,635,1593,2,"['ENSG00000196735', 'ENSG00000011600']","['ENSG00000196735', 'ENSG00000090382', 'ENSG00000011600', 'ENSG00000169508', 'ENSG00000158869', 'ENSG00000204472', 'ENSG00000204482', 'ENSG00000179639', 'ENSG00000179344', 'ENSG00000223865']",1.0
