,b_memory,cd4_cm,cd4_naive,cd4_tem,cd4_temra,cd4_treg,cd4_trm,cd8_naive,cd8_tem,cd8_temra,cd8_trm,dc2,dc_migratory,ilc3,macrophage,mast_cell,nk_cd56br,nk_ilc_precursor,progenitor
ISG15,0.9852718412876129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.0
TNFRSF18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.9784027702278562,0.0
TNFRSF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPL20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SSU72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TNFRSF14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1orf174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RPL22,0.1208363605870141,0.1488754020796882,0.20766150951385498,0.12755906250741747,0.00927807887395223,0.08114919397566053,0.05583022038141886,0.10454314615991381,0.048295295900768705,0.11131023367245992,0.027321990993287828,0.01200319661034478,0.006185611089070638,0.0056355297565460205,0.0,0.19210738605923122,0.008311367697185941,0.0007051891750759549,0.06456083059310913
CAMTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PARK7,0.8888888888888888,0.0,0.0,0.8889398674170176,0.9225395752323998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RERE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENO1,0.39616357286771137,0.0,0.4210464093420241,0.44155454966757035,0.44129107395807904,0.4989095959398482,0.0,0.0,0.0,0.0,0.0,0.49785625272327,0.39659060703383553,0.4885856906572978,0.5501546694172753,0.0,0.3888888888888889,0.73795043097602,0.4152851170963711
GPR157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TARDBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AGTRAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TNFRSF1B,0.0,0.0,0.0,0.0,0.793572853008906,0.0,0.0,0.0,0.0,0.0,0.0,0.815672390990787,0.819572432173623,0.0,0.8814037177297804,0.0,0.7777777777777778,0.0,0.0
DHRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.9802598026063707,0.0
EFHD2,0.0,0.0,0.0,0.0,0.8605455723073747,0.0,0.0,0.0,0.0,0.8665547205342187,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8557196226384904,0.0
PLEKHM2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZRD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NECAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
UBR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPZB,0.6681275930669572,0.0,0.7051324413882362,0.0,0.7295267813735538,0.0,0.0,0.0,0.710713826947742,0.7829204499721527,0.6771480076842837,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
HP1BP3,0.6275379227267371,0.6450786292552948,0.651699897315767,0.0,0.6503690083821615,0.0,0.0,0.6404616468482547,0.0,0.7423064576254951,0.0,0.0,0.0,0.6767662631140815,0.0,0.0,0.6111111111111112,0.0,0.0
USP48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CDC42,0.4404039118025038,0.21200476752387154,0.20616731378767225,0.0,0.48385727736685014,0.19553202721807691,0.235392259226905,0.3043183518780602,0.3105689154730903,0.3415277931425307,0.2638893690374162,0.2205406261814965,0.20594532622231376,0.23011618852615356,0.16666666666666666,0.0,0.16685247421264648,0.2569456232918633,0.0
HNRNPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9864394101831648,0.0,0.0,0.9444444444444444,0.0,0.0
RPL11,0.09562736418512133,0.1274151967631446,0.14402606421046787,0.10989520616001552,0.03688346346219381,0.06638528572188483,0.0727207793129815,0.05086690518591139,0.06272018286916944,0.020331607924567327,0.05691839920149909,0.006805419921875,0.0012261635727352565,0.030452943510479398,0.0,0.13317849569850498,0.007035043504503038,0.04419579108556112,0.008393605550130209
PITHD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PNRC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SRSF10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.9828883177704282,0.0
SRRM1,0.40546055965953404,0.0,0.4212489624818166,0.5059820446703169,0.509064386288325,0.513604097896152,0.5141192740864224,0.0,0.3333333333333333,0.5697837836212583,0.5381623572773404,0.3805462254418267,0.35186897383795845,0.4411751793490516,0.0,0.0,0.3453371756606632,0.0,0.0
CLIC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RUNX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSRP1,0.5891896784305573,0.5857270757357279,0.0,0.0,0.5597156948513455,0.0,0.0,0.0,0.7040521999200186,0.6721650660037994,0.6520640684498681,0.0,0.5555555555555556,0.6041399174266391,0.0,0.0,0.6260935465494791,0.0,0.0
TMEM50A,0.0,0.0,0.0,0.0,0.928812755478753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892682585451338,0.8888888888888888,0.0
STMN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9745487007829878,0.9444444444444444
SH3BGRL3,0.18033578329616123,0.128989792532391,0.1496504313415951,0.18984177046351963,0.4908556507693397,0.19745398230022854,0.09302383330133226,0.16230637828509012,0.2663717501693302,0.23436392678154838,0.11214002304606968,0.11652439832687378,0.05555555555555555,0.2198193437523312,0.3401568465762668,0.5155120889345804,0.1108273532655504,0.06646859976980421,0.0
CD52,0.6880823804272546,0.5245771937900119,0.6090447306632996,0.47048667735523647,0.7396043108569251,0.47177695565753514,0.4444444444444444,0.47957879304885864,0.457858059141371,0.48229966892136467,0.0,0.0,0.0,0.49385056230756974,0.0,0.0,0.0,0.0,0.0
HMGN2,0.0,0.7341774172253079,0.743885788652632,0.0,0.7676466140482161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7254597577783797,0.0,0.0,0.7222222222222222,0.8969399034976959,0.0
RPS6KA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ARID1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NUDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SYTL1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WASF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DNAJC8,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583401150173612,0.0
