clusterName,gene
cd8_temra,TSEN54
cd8_temra,RASGRP1
cd8_temra,FGFBP2
cd8_tem,CD8A
cd8_tem,GZMH
nk_ilc_precursor,FAM111B
nk_cd56br,KLRF1
nk_cd56br,CLIC3
progenitor,TMEM263
progenitor,RPF1
mast_cell,TPSAB1
macrophage,RNASE1
dc2,GNA15
dc2,NFKBID
dc_migratory,LAMP3
dc_migratory,CRLF2
b_memory,MS4A1
cd4_cm,GIMAP1
cd4_cm,SELL
cd4_naive,LINC00861
cd4_naive,SELL
ilc3,TNFSF11
ilc3,TMIGD2
cd8_naive,DOCK10
cd8_naive,FAM107B
cd8_naive,CD8B
cd8_naive,IMPDH2
cd4_tem,PARK7
cd4_tem,RORA
cd4_tem,SNHG12
cd4_trm,EML4
cd4_trm,RORA
cd4_treg,IKZF2
cd4_treg,CCNH
cd8_trm,CD8B
cd8_trm,PPP2R5C
cd4_temra,C12orf75
cd4_temra,FGFBP2
