software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,author_cell_type,cd8_temra,7,0.7894736842105263,1.0,0.4285714285714285,1724,0,4,3,3,"['ENSG00000182173', 'ENSG00000172575', 'ENSG00000137441']","['ENSG00000180739', 'ENSG00000182173', 'ENSG00000172575', 'ENSG00000100030', 'ENSG00000170852', 'ENSG00000137441', 'ENSG00000239713', 'ENSG00000100450', 'ENSG00000145649', 'ENSG00000172543']",1.0
4.1,author_cell_type,cd8_tem,16,0.5833333333333334,0.6363636363636364,0.4375,1711,4,9,7,2,"['ENSG00000153563', 'ENSG00000100450']","['ENSG00000169252', 'ENSG00000159111', 'ENSG00000154310', 'ENSG00000141232', 'ENSG00000153563', 'ENSG00000100450', 'ENSG00000180644', 'ENSG00000172116', 'ENSG00000100453', 'ENSG00000073861']",0.3260671496391296
4.1,author_cell_type,nk_ilc_precursor,5,0.8823529411764706,1.0,0.6,1726,0,2,3,1,['ENSG00000189057'],"['ENSG00000189057', 'ENSG00000224376', 'ENSG00000166803', 'ENSG00000101412', 'ENSG00000184357', 'ENSG00000162384', 'ENSG00000145990', 'ENSG00000162496', 'ENSG00000182199', 'ENSG00000117632']",1.0
4.1,author_cell_type,nk_cd56br,6,0.9090909090909092,1.0,0.6666666666666666,1725,0,2,4,2,"['ENSG00000150045', 'ENSG00000169583']","['ENSG00000198574', 'ENSG00000187118', 'ENSG00000150045', 'ENSG00000169583', 'ENSG00000197858', 'ENSG00000117281', 'ENSG00000163029', 'ENSG00000071859', 'ENSG00000107317', 'ENSG00000113088']",1.0
4.1,author_cell_type,progenitor,5,0.7692307692307693,1.0,0.4,1726,0,3,2,2,"['ENSG00000151135', 'ENSG00000117133']","['ENSG00000151135', 'ENSG00000117133', 'ENSG00000085231', 'ENSG00000198912', 'ENSG00000170632', 'ENSG00000123975', 'ENSG00000165792', 'ENSG00000242485', 'ENSG00000099956', 'ENSG00000101367']",1.0
4.1,author_cell_type,mast_cell,52,0.9322033898305084,0.9565217391304348,0.8461538461538461,1677,2,8,44,1,['ENSG00000172236'],"['ENSG00000197253', 'ENSG00000172236', 'ENSG00000095917', 'ENSG00000163751', 'ENSG00000163106', 'ENSG00000164120', 'ENSG00000100448', 'ENSG00000157404', 'ENSG00000115602', 'ENSG00000163171']",1.0
4.1,author_cell_type,macrophage,320,0.7009803921568627,0.8171428571428572,0.446875,1379,32,177,143,1,['ENSG00000129538'],"['ENSG00000129538', 'ENSG00000135047', 'ENSG00000129226', 'ENSG00000140678', 'ENSG00000165029', 'ENSG00000164733', 'ENSG00000119655', 'ENSG00000159399', 'ENSG00000183696', 'ENSG00000133657']",1.0
4.1,author_cell_type,dc2,428,0.6390274314214464,0.6972789115646258,0.4789719626168224,1214,89,223,205,2,"['ENSG00000060558', 'ENSG00000167604']","['ENSG00000060558', 'ENSG00000237541', 'ENSG00000113532', 'ENSG00000167604', 'ENSG00000197872', 'ENSG00000170542', 'ENSG00000179344', 'ENSG00000196735', 'ENSG00000198502', 'ENSG00000112149']",0.7086988687515259
4.1,author_cell_type,dc_migratory,141,0.600375234521576,0.6530612244897959,0.4539007092198581,1556,34,77,64,2,"['ENSG00000078081', 'ENSG00000205755']","['ENSG00000078081', 'ENSG00000180758', 'ENSG00000122641', 'ENSG00000205755', 'ENSG00000151012', 'ENSG00000234883', 'ENSG00000161921', 'ENSG00000070190', 'ENSG00000138166', 'ENSG00000126353']",1.0
4.1,author_cell_type,b_memory,7,0.967741935483871,1.0,0.8571428571428571,1724,0,1,6,1,['ENSG00000156738'],"['ENSG00000156738', 'ENSG00000105369', 'ENSG00000153064', 'ENSG00000128218', 'ENSG00000167483', 'ENSG00000247982', 'ENSG00000012124', 'ENSG00000177455', 'ENSG00000163534', 'ENSG00000124243']",1.0
