author_cell_type,mean,std,median,count,q1,q3,f_score
Endothelial cells,0.6762184923145967,0.14447975455918027,0.7155917990059066,370,0.6622188786730381,0.7562946125211172,0.830804248861912
Pericytes,0.6329428588491414,0.1548297660799074,0.682746181982347,623,0.6229117045211952,0.7290309347078952,0.7906542056074767
Terminally differentiated keratinocytes,0.526802788284659,0.2886825990197841,0.6328007080500615,848,0.516700717106963,0.6712948786112166,0.7664106145251397
Immune,0.5113160054272767,0.19291632074025922,0.5850718124602349,612,0.48918988626976956,0.630024451020787,0.7713754646840149
Melanocytes/melanocyte-like,0.5596413133112363,0.13268547128790276,0.5817144738397867,467,0.4967765244297617,0.649929895982785,0.8345428156748912
Fibroblasts II,0.5446892033645364,0.13944240595953805,0.5676923351033532,976,0.4683240619638166,0.6587083526451468,0.5770833333333333
Undifferentiated keratinocytes II,0.3883479385481199,0.32740516671559844,0.5268908577070022,588,0.4110518363100878,0.5592920418415261,0.7721382289416847
Undifferentiated keratinocytes I,0.36090286588049564,0.23026416502009747,0.42144240995978394,2580,0.24101516331362935,0.5420150546471758,0.7092291557420032
Fibroblasts I,0.2020851587702974,0.2840314082366458,0.2771170231309054,2069,0.0213615994046175,0.4253111375766962,0.5772985033001766
Differentiated keratinocytes II,0.07290147538846041,0.2824840773505927,0.15080861011953373,3010,-0.10703675714761775,0.29497905192271334,0.4560909267534486
Differentiated keratinocytes I,0.03610314564933858,0.2705021109368874,0.05969032242463915,3100,-0.16118467682350224,0.2664889618334763,0.6182065217391305
